distance [m],Energy [eV]
0.0533,2734559.3140644953
0.0534,2720115.2802783987
0.0535,2705621.2891253135
0.0536,2691076.774325915
0.0537,2676481.158674317
0.0538,2661833.853740945
0.0539,2647134.2595687932
0.054,2632381.7643473316
0.0541,2617575.744087239
0.0542,2602715.562273626
0.0543,2587800.5695142807
0.0544,2572830.1031705416
0.0545,2557803.486972443
0.0546,2542720.030627237
0.0547,2527579.0294072307
0.0548,2512379.7637210614
0.0549,2497121.4986750484
0.055,2481803.4836088843
0.0551,2466424.951623048
0.0552,2450985.119079737
0.0553,2435483.1850880715
0.0554,2419918.3309686095
0.0555,2404289.7196930298
0.0556,2388596.495308919
0.0557,2372837.7823331114
0.0558,2357012.685120193
0.0559,2341120.287215284
0.056,2325159.6506646117
0.0561,2309129.815309529
0.0562,2293029.7980441186
0.0563,2276858.592041345
0.0564,2260615.16594858
0.0565,2244298.4630450695
0.0566,2227907.4003637936
0.0567,2211440.867771131
0.0568,2194897.7270125835
0.0569,2178276.810707189
0.057,2161576.9212997206
0.0571,2144796.829963234
0.0572,2127935.2754527773
0.0573,2110990.9629036514
0.0574,2093962.5625692531
0.0575,2076848.7085076023
0.0576,2059647.9971917293
0.0577,2042358.9860646026
0.0578,2024980.1920121303
0.0579,2007510.0897682863
0.058,1989947.110237474
0.0581,1972289.638727508
0.0582,1954536.0130981726
0.0583,1936684.5218096331
0.0584,1918733.4018748489
0.0585,1900680.836693622
0.0586,1882524.9537832006
0.0587,1864263.8223772794
0.0588,1845895.4509016853
0.0589,1827417.7843077064
0.059,1808828.7012597558
